"Mainextract_Commentaire","Mainextract_Date"
"Ce domaine à besoin d être rénové.L aqua mundo n est pas très sécurisant quand on vois les plaques des plafonds entrain de tombé ou qui malheureusement sont déjà tombees mais qui sont retenus par des filets. Une piscine avec un sérieux manque d entretien...Plus","Date du séjour : janvier 2019"
"Première fois à center parc, cadre très agréable, cottage agréable malgré quelques problèmes de maintenance (bain à remous non fonctionnel, barre de douche desserrer, pommeau de douche trop petit peu efficace, à voir pour un rideau de douche car vite inondé) Les activité proposées sont...Plus","Date du séjour : janvier 2019"
"Site de Verneuil un peu vieillissant des nouveautés dans la bulle seraient les bienvenus à part ça c'est toujours un plaisir de se sentir loin de tout et de passer de bons moments entre amis et famille","Date du séjour : janvier 2019"
"parc mal entretenu chauffage défectueux prestation ne correspondant pas aux attentesextérieurs mal entretenus douche de l aquaminds vétusté qui ne fonctionnent pas restauration moyenneprestations des activités médiocres ( tennis ping pong) etcbref c est vraiment prendre les clients pour des pigeons","Date du séjour : janvier 2019"
"Très bon séjour reposant je recommande ce site. Super moment en couple. A refaire pour de nouveau se reposer. Le parc est bien aménagé et permet d'être vraiment dans la nature ce qui permet de se ressourcer.","Date du séjour : janvier 2019"
"Ensemble très vétuste surtout le dôme !! Et la propreté des vestiaires laisse à désirés de plus aucun contrôle donc les indisciplinés ce promènent avec leurs chaussures la ou C est interdit !! Heureusement le logement pagode vip à sauvé un peu le séjour avec...Plus","Date du séjour : janvier 2019"
"Malgres les travaux. Nous avons passe un sejour tres agréable. Un vrai bonheur partage en famille. Le cottage est propre et spacieux. Un sejour en ete serait encore plus agrable. Le personel est tres sympathique . Merci a tout le monde.","Date du séjour : janvier 2019"
"je trouve les bungalow tres bas de gamme la decoration est tres vieillote nous avons eu un bungalow pour 6 personnes. le decor du parc est agreable mais le soir pour retourner a sa maison sans lumiere c'est assez complique. il manque de la lumiere...Plus","Date du séjour : janvier 2019"
"Avis très mitigé,un ensemble de détails(partie de l'aqua moundo fermé sans que l'on ai étais informé),lumière qui ne fonctionne pas dans le cottage,baignoire balneo a déploré dans le cottage(système trop ancien),propreté de la piscine,anti-fourmis dans le sauna extérieur(??????)Bref,la piscine mériterait d'être fermés quelques jours pour...Plus","Date du séjour : janvier 2019"
"sejour relaxant et amusant avec la familles , mes 3 enfants se sont bien amuser , manque de signalisation et lumières le soir , beaucoup de gens etait perdue avec leur carte . pas de serviette ni tapis de douche , et manque d'extensible en...Plus","Date du séjour : janvier 2019"
