,hotel_name,published_date,rating,review,review_language,title,trip_date
0,Center Parcs Le Bois aux Daims,1 février 2019,5,"Premier s\u00e9jour \u00e0 center parc pour nous et nous avons ador\u00e9! Nous sommes partis 5 jours avec une petite fille de 2 ans. Tout \u00e9tait parfait. Le cottage premuim \u00e9tait tr\u00e8s bien agenc\u00e9, cocooning et propre. Les activit\u00e9s : piscine, spectacle pour enfants, balade, daims sont g\u00e9niales pour d\u00e9connecter.  Tout en pens\u00e9 pour ne pas sortir : livraisons de repas, carrefour market... ",fr,Petite semaine en famille, janvier 2019
1,Center Parcs Le Bois aux Daims,1 février 2019,5,"sejour tr\u00e8s agreable comme d habitude a center parcs,quel plaisir de voir les daims devant la terrasse de votre cottage;l eau de l aqua mondo peu etre pas \u00e0 30 degr\u00e9s mais une fois dedans vous ne penser qu a descendre la rivi\u00e9re sauvage",fr,center parcs la promesse des daims, janvier 2019
2,Center Parcs Le Bois aux Daims,1 février 2019,3,"Cottage tr\u00e8s bien, propre et chaud d\u00e8s l\'arriv\u00e9e. Le parc agr\u00e9able.Une coupure de courant nous a emp\u00each\u00e9 de profiter de la soir\u00e9e avant le d\u00e9part.Nous \u00e9tions en basse saison, l\'eau des piscines pas assez chaude.",fr,A am\u00e9liorer, janvier 2019
3,Center Parcs Le Bois aux Daims,1 février 2019,3,"S\u00e9jour tr\u00e8s reposant \u00e0 noter tout de m\u00eame trois restaurants test\u00e9s  sur quatre et trois d\u00e9ceptions m\u00eame quick n \u00e0 pas r\u00e9ussi \u00e0 faire un sandwich chaud. De plus pour un site de cette ampleur je trouve innadmissible d avoir \u00e9t\u00e9 bloqu\u00e9e dans le d\u00f4me presque une heure apr\u00e8s resto \u00e0 cause d une coupure d \u00e9lectricit\u00e9 due \u00e0 la temp\u00eate Gabriel pas de groupe \u00e9lectrog\u00e8ne personne pour nous ramener au cottage nous avons rejoint notre cottage sous la pluie le vent dans le noir,malgr\u00e9 un repas fini dans le noir pas de geste commercial du resto ni de la direction je trouve cela honteux. Le cottage \u00e9tait tr\u00e8s douill\u00e9 et calme tout pour le repos et les bassins sont impeccables.",fr,Reposant, février 2019
4,Center Parcs Le Bois aux Daims,2 février 2019,5,"Arriv\u00e9s pour trois nuits et deux jours en semaine et hors saison, nous n\'\u00e9tions pas seuls !Ce centre a une bonne note globale, et sur place, on appr\u00e9cie que tout est conforme: les animaux sont bien pr\u00e9sents, les cottages sont spacieux, propres et silencieux, la  literie ( 10/10) tr\u00e8s confortable. B\u00e9mol sur le restaurant pizzeria avec un personnel tr\u00e8s d\u00e9vou\u00e9, mais une qualit\u00e9 de pizza surgel\u00e9e....\u00e0 \u00e9viter. En face, le Cocoon vous re\u00e7oit tr\u00e8s bien avec un niveau de restauration tr\u00e8s sup\u00e9rieur. Dommage pour la boutique souvenirs ..Made in China bien sur et peu de choix sur les animaux locaux ; les daims en peluches et d\u00e9riv\u00e9s . La piscine est diversifi\u00e9e avec les activit\u00e9s plus ou moins sportives, \u00e0 sensations,  dr\u00f4les et ludiques.Un s\u00e9jour qui tient ses promesses avec une m\u00e9t\u00e9o pourrie (temp\u00eate, pluie) on appr\u00e9cie d\'autant mieux la chaleur et l\'ambiance chauff\u00e9e sous les bananiers....",fr,tres belle decouverte, janvier 2019
5,Center Parcs Le Bois aux Daims,30 janvier 2019,4,"Center parc est un endroit tr\u00e8s relaxant et en coh\u00e9sion avec la nature. Mais j\'ai \u00e9t\u00e9 \u00e9norm\u00e9ment d\u00e9\u00e7ue, de ne pas pouvoir acc\u00e9der a la piscine le samedi a cause du monde!Vu le prix en VIP je ne trouve pas \u00e7a normal.",fr,D\u00e9connexion, janvier 2019
6,Center Parcs Le Bois aux Daims,30 janvier 2019,5,agr\u00e9ablement surpris super s\u00e9jour bien reposer pr\u00e9s a recommencer rapport qualit\u00e9 prix tr\u00e8s bien le logement tr\u00e8s propre et bien agencer l\'espace aquatique tr\u00e8s agr\u00e9able avec \u00e7a piscine ext\u00e9rieure chauffer  ,fr,s\u00e9jour agr\u00e9able, janvier 2019
7,Center Parcs Le Bois aux Daims,30 janvier 2019,2,Piscine bond\u00e9e de monde !! Et pourtant hors p\u00e9riodes scolaire ..Pas de petits chalets mais des hangars en bois coll\u00e9s les uns aux autres..Meme si nous avons pass\u00e9s un bon moment avec nos enfants nous n\'y retournerons pas .. ,fr,Piscine, janvier 2019
8,Center Parcs Le Bois aux Daims,31 janvier 2019,1,"Le personnel du service client n\u2019a pas \u00e9t\u00e9 \u00e0 la hauteur des offres propos\u00e9es et non pu nous satisfaire ni r\u00e9pondre \u00e0 nos esp\u00e9rances. En milieu de ces jours il nous propose de rester une nuit suppl\u00e9mentaire en b\u00e9n\u00e9ficiant de 20 % de remise, et nous d\u00e9cidons de rester au mais entre-temps notre cottages \u00e9tait relou\u00e9. Nous avions tout mis en place pour rester plus mais au final nous sommes contraint de partir. Aucune solution trouv\u00e9e ",fr,Bof bof le service, novembre 2018
9,Center Parcs Le Bois aux Daims,31 janvier 2019,5,"Un vrai paradis pour d\u00e9connecter du travail, des animaux pour les enfants ainsi que des jeux.  Le calme, la nature, la marche... quoi de mieux pour se reposer ? du personnel souriant, accueillant et disponible, que demander de plus. ",fr,SUPER  SEJOUR, janvier 2019
