,hotel_name,published_date,rating,review,review_language,title,trip_date,tokens,Stemming,Lemmatisation
0,Center Parcs Het Meerdal,7 novembre 2018,3,"Le parc est très beau et bien situé. Les activités sont variées mais parfois un peu chères. Le gros point négatif est l'état des cottages. Ils sont vieillots et très mal insonorisés. De plus, la propreté n'est vraiment pas au rendez-vous... Attention, aucune activité n'est en français, vraiment dommage pour les enfants.",fr,Parc agréable., novembre 2018,"['beau', 'bien', 'situe', 'activites', 'variees', 'parfois', 'cheres', 'gros', 'point', 'negatif', 'l etat', 'vieillots', 'mal', 'insonorises', 'proprete', 'rendez vous', 'attention', 'aucune', 'activite', 'francais', 'dommage', 'enfants']","['beau', 'bien', 'situ', 'activit', 'varie', 'parfois', 'cher', 'gros', 'point', 'negat', 'l etat', 'vieillot', 'mal', 'insonoris', 'propret', 'rendez vous', 'attent', 'aucun', 'activit', 'franc', 'dommag', 'enfant']","['beau', 'bien', 'situe', 'activites', 'variees', 'parfois', 'cheres', 'gros', 'point', 'negatif', 'l etat', 'vieillots', 'mal', 'insonorises', 'proprete', 'rendez vous', 'attention', 'aucune', 'activite', 'francais', 'dommage', 'enfants']"
1,Center Parcs Het Meerdal,25 août 2018,4,"Nous avons séjourné une semaine dans ce parc très agréable et bien entretenu.L'aqua mundo n'est pas très grand, mais bien fait.Le personnel est très sympa, mais ne parle pas le français pour la plus grande majorité.Le cottage était un peu vieillot, mais propre, bien entretenu et équipé.Nous étions dans la zone 6 face au lac : parfait.Le parc est à 2h de voiture d'Amsterdam et 3h de Bruxelles.Nous en avons donc profité pour visiter un peu.Belle découverte de ce pays.La seule chose à laquelle nous ne nous sommes pas habitué est l'alimentation.",fr,Belle découverte du pays, août 2018,"['sejourne', 'agreable', 'bien', 'entretenu l aqua', 'grand', 'bien', 'fait le', 'personnel', 'sympa', 'parle', 'francais', 'grande', 'majorite le', 'vieillot', 'propre', 'bien', 'entretenu', 'equipe nous', 'zone', 'face', 'lac', 'parfait le', 'voiture', 'd amsterdam', 'bruxelles nous', 'profite', 'visiter', 'peu belle', 'decouverte', 'pays la', 'seule', 'chose', 'laquelle', 'habitue', 'l alimentation']","['sejourn', 'agreabl', 'bien', 'entretenu l aqu', 'grand', 'bien', 'fait l', 'personnel', 'symp', 'parl', 'franc', 'grand', 'majorite l', 'vieillot', 'propr', 'bien', 'entretenu', 'equipe nous', 'zon', 'fac', 'lac', 'parfait l', 'voitur', 'd amsterdam', 'bruxelles nous', 'profit', 'visit', 'peu bel', 'decouvert', 'pays l', 'seul', 'chos', 'laquel', 'habitu', 'l aliment']","['sejourne', 'agreable', 'bien', 'entretenu l aqua', 'grand', 'bien', 'fait le', 'personnel', 'sympa', 'parle', 'francais', 'grande', 'majorite le', 'vieillot', 'propre', 'bien', 'entretenu', 'equipe nous', 'zone', 'face', 'lac', 'parfait le', 'voiture', 'd amsterdam', 'bruxelles nous', 'profite', 'visiter', 'peu belle', 'decouverte', 'pays la', 'seule', 'choose', 'laquelle', 'habitue', 'l alimentation']"
2,Center Parcs Het Meerdal,2 novembre 2018,4,"Rien de vraiment négatif à part la qualité de la literie (matelas trop mou), le manque de casiers famille à la piscine.Nous avions le cottage 534 qui se trouve très loin du dôme surtout avec un bébé mais qui nous a permis de visiter l'étendue du site. Site très agréable, ferme pour enfants très ludique. Propreté du site tant extérieur que cottage et partie commune.Centre aquatique pas très grand mais très agréable. Rivière sauvage très fun.Activités très variées à des prix très raisonnables. Nous avons testé le mini golf extérieur et avec ma fille aînée de 12 ans, nous avons fait l'accrobranche. Parcours excellent, très sécurisé... un peu de stress mais très très agréable.Même si certains se plaignent du manque de communication en français, on parvient toujours à se faire comprendre. Tout le monde y met du sien... en même temps, quand on va en France, personne ne parle néerlandais. ...Je n'y retournerais pas car nous ne partons jamais deux fois au même endroit. Nous aimons découvrir de nouveaux horizons mais nous le conseillons sans soucis.",fr,Rien à redire, novembre 2018,"['negatif', 'part', 'qualite', 'literie', 'matelas', 'mou', 'manque', 'casiers', 'famille', 'piscine nous', '534', 'loin', 'dome', 'bebe', 'permis', 'visiter', 'l etendue', 'agreable', 'ferme', 'enfants', 'ludique', 'proprete', 'tant', 'exterieur', 'partie', 'commune centre', 'aquatique', 'grand', 'agreable', 'riviere', 'sauvage', 'fun activites', 'variees', 'prix', 'raisonnables', 'teste', 'mini', 'golf', 'exterieur', 'fille', 'ainee', 'l accrobranche', 'parcours', 'excellent', 'securise', 'stress', 'agreable meme', 'certains', 'plaignent', 'manque', 'communication', 'francais', 'parvient', 'comprendre', 'monde', 'met', 'sien', 'temps', 'france', 'personne', 'parle', 'neerlandais', 'retournerais', 'partons', 'jamais', 'deux', 'endroit', 'aimons', 'decouvrir', 'nouveaux', 'horizons', 'conseillons', 'soucis']","['negat', 'part', 'qualit', 'liter', 'matel', 'mou', 'manqu', 'casi', 'famill', 'piscine nous', '534', 'loin', 'dom', 'beb', 'perm', 'visit', 'l etendu', 'agreabl', 'ferm', 'enfant', 'ludiqu', 'propret', 'tant', 'exterieur', 'part', 'commune centr', 'aquat', 'grand', 'agreabl', 'rivier', 'sauvag', 'fun activit', 'varie', 'prix', 'raison', 'test', 'min', 'golf', 'exterieur', 'fill', 'aine', 'l accrobranch', 'parcour', 'excellent', 'securis', 'stress', 'agreable mem', 'certain', 'plaignent', 'manqu', 'commun', 'franc', 'parvient', 'comprendr', 'mond', 'met', 'sien', 'temp', 'franc', 'person', 'parl', 'neerland', 'retourn', 'parton', 'jam', 'deux', 'endroit', 'aimon', 'decouvr', 'nouveau', 'horizon', 'conseillon', 'souc']","['negatif', 'part', 'qualite', 'literie', 'matelas', 'mou', 'manque', 'casiers', 'famille', 'piscine nous', '534', 'loin', 'dome', 'bebe', 'permis', 'visiter', 'l etendue', 'agreable', 'ferme', 'enfants', 'ludique', 'proprete', 'tant', 'exterieur', 'partie', 'commune centre', 'aquatique', 'grand', 'agreable', 'riviere', 'sauvage', 'fun activites', 'variees', 'prix', 'raisonnables', 'teste', 'mini', 'golf', 'exterieur', 'fille', 'ainee', 'l accrobranche', 'parcours', 'excellent', 'securise', 'stress', 'agreable meme', 'certains', 'plaignent', 'manque', 'communication', 'francais', 'parvient', 'comprendre', 'monde', 'meet', 'sien', 'temp', 'france', 'personne', 'parle', 'neerlandais', 'retournerais', 'partons', 'jamais', 'deux', 'endroit', 'aimons', 'decouvrir', 'nouveaux', 'horizon', 'conseillons', 'soucis']"
3,Center Parcs Het Meerdal,2 septembre 2018,3,"C'est un endroit calme au milieu de la forêt, le parc est grand et bien entretenu. Mais il y avait beaucoup de monde et surtout des enfants donc c'est bruyant.L'aqua mundo est petit, on aurait aimé plus de toboggans, mais on s'est bien amusé dans la rivière sauvage.",fr,Beaucoup de monde, août 2018,"['endroit', 'calme', 'milieu', 'foret', 'grand', 'bien', 'entretenu', 'beaucoup', 'monde', 'enfants', 'bruyant l aqua', 'petit', 'aime', 'toboggans', 's est', 'bien', 'amuse', 'riviere', 'sauvage']","['endroit', 'calm', 'milieu', 'foret', 'grand', 'bien', 'entretenu', 'beaucoup', 'mond', 'enfant', 'bruyant l aqu', 'pet', 'aim', 'toboggan', 's est', 'bien', 'amus', 'rivier', 'sauvag']","['endroit', 'calme', 'milieu', 'foret', 'grand', 'bien', 'entretenu', 'beaucoup', 'monde', 'enfants', 'bruyant l aqua', 'petit', 'aime', 'toboggan', 's est', 'bien', 'amuse', 'riviere', 'sauvage']"
4,Center Parcs Het Meerdal,23 avril 2018,3,"Nous revenons d'un séjour en famille Le domaine est propre et entretenu .Les cottages sont un peu vieillissant et le matériel obsolète ( le micro onde continue de fonctionner même  porte ouverte!!) Nous etions dans les logements 9 attentio n beaucoup trop loin de tout surtout avec de jeunes enfants !!! La piscine  est sympa mais seulement un vrai tobbogan la rivière sauvage est elle assez cool! Par contre au pays bas pas de restauration le midi et, les restaurants n ouvrent que de 17h à 20h !!!! Etrange mais il faut s y résigner",fr,Bien mais pas exceptionnel, avril 2018,"['revenons', 'd un', 'famille', 'domaine', 'propre', 'entretenu', ' les', 'vieillissant', 'materiel', 'obsolete', 'micro', 'onde', 'continue', 'fonctionner', 'porte', 'ouverte', 'etions', 'logements', 'attentio', 'beaucoup', 'loin', 'jeunes', 'enfants', 'piscine', 'sympa', 'seulement', 'vrai', 'tobbogan', 'riviere', 'sauvage', 'cool', 'pays', 'bas', 'restauration', 'midi', 'restaurants', 'ouvrent', '17h', '20h', 'etrange', 'resigner']","['revenon', 'd un', 'famill', 'domain', 'propr', 'entretenu', ' le', 'vieil', 'materiel', 'obsolet', 'micro', 'onde', 'continu', 'fonction', 'port', 'ouvert', 'etion', 'log', 'attentio', 'beaucoup', 'loin', 'jeun', 'enfant', 'piscin', 'symp', 'seul', 'vrai', 'tobbogan', 'rivier', 'sauvag', 'cool', 'pay', 'bas', 'restaur', 'mid', 'restaur', 'ouvrent', '17h', '20h', 'etrang', 'resign']","['revenons', 'd un', 'famille', 'domaine', 'propre', 'entretenu', ' les', 'vieillissant', 'materiel', 'obsolete', 'micro', 'onde', 'continue', 'fonctionner', 'porte', 'ouverte', 'etions', 'logements', 'attentio', 'beaucoup', 'loin', 'jeunes', 'enfants', 'piscine', 'sympa', 'seulement', 'vrai', 'tobbogan', 'riviere', 'sauvage', 'cool', 'pay', 'ba', 'restauration', 'midi', 'restaurant', 'ouvrent', '17h', '20h', 'etrange', 'resigner']"
5,Center Parcs Het Meerdal,3 avril 2018,4,"Séjour de 5 jours pour Pâques. Nous étions au numéro 536 proche du lac et de la piscine. Bungalow un peu vieillot mais tout y est fonctionnel. Parc interdit aux véhicules. Plaine de jeux, pont de singe, mini-golf, pédalos, ... . Les enfants se régalent.La piscine est vraiment top avec toboggans et rivière rapide. L'accès est possible aux gens de l'extérieur moyennant 9\u20ac. Dans le dome market grande possibilité de se restaurer dans un décor vraiment sympa avec palmiers et perroquets. Magasins de souvenirs, de nourriture, de vêtements. Vraiment un chouette endroit pour passer un week-end en famille. Seul bémol aucune personne ne parle le français.Ca n'empêchera pas d'y retourner.",fr,repos et dépaysement, avril 2018,"['pâques', 'numero', '536', 'proche', 'lac', 'piscine', 'bungalow', 'vieillot', 'fonctionnel', 'interdit', 'vehicules', 'plaine', 'jeux', 'pont', 'singe', 'mini golf', 'pedalos', 'enfants', 'regalent la', 'piscine', 'top', 'toboggans', 'riviere', 'rapide', 'l acces', 'possible', 'gens', 'l exterieur', 'moyennant', '9 u20ac', 'dome', 'market', 'grande', 'possibilite', 'restaurer', 'decor', 'sympa', 'palmiers', 'perroquets', 'magasins', 'souvenirs', 'nourriture', 'vetements', 'chouette', 'endroit', 'week end', 'famille', 'seul', 'bemol', 'aucune', 'personne', 'parle', 'francais ca', 'n empechera', 'retourner']","['pâqu', 'numero', '536', 'proch', 'lac', 'piscin', 'bungalow', 'vieillot', 'fonctionnel', 'interd', 'vehicul', 'plain', 'jeux', 'pont', 'sing', 'mini golf', 'pedalos', 'enfant', 'regalent l', 'piscin', 'top', 'toboggan', 'rivier', 'rapid', 'l acc', 'possibl', 'gen', 'l exterieur', 'moyen', '9 u20ac', 'dom', 'market', 'grand', 'possibilit', 'restaur', 'decor', 'symp', 'palmi', 'perroquet', 'magasin', 'souvenir', 'nourritur', 'vet', 'chouet', 'endroit', 'week end', 'famill', 'seul', 'bemol', 'aucun', 'person', 'parl', 'francais c', 'n empech', 'retourn']","['pâques', 'numero', '536', 'proche', 'lac', 'piscine', 'bungalow', 'vieillot', 'fonctionnel', 'interdit', 'vehicules', 'plaine', 'jeux', 'pont', 'singe', 'mini golf', 'pedalos', 'enfants', 'regalent la', 'piscine', 'top', 'toboggan', 'riviere', 'rapide', 'l acces', 'possible', 'gen', 'l exterieur', 'moyennant', '9 u20ac', 'dome', 'market', 'grande', 'possibilite', 'restaurer', 'decor', 'sympa', 'palmiers', 'perroquets', 'magasins', 'souvenir', 'nourriture', 'vetements', 'chouette', 'endroit', 'week end', 'famille', 'seul', 'bemol', 'aucune', 'personne', 'parle', 'francais ca', 'n empechera', 'retourner']"
6,Center Parcs Het Meerdal,19 avril 2018,5,"Merveilleux séjour à Het meerdal.La zone 4 est au calme mais reste proche de tout. Le parc n'est pas tout neuf, mais niveau entretien et propreté rien a dire c'est nickel, cottage propre et confort.L'aquamundo est pas mal. Avec un 1 seul toboggan, une belle rivière sauvage, une douce, et plusieurs endroits pour se relaxer avec les plus petits.La petite ferme est très sympa aussi.Beaucoup de loisirs à découvrir ou à refaire, et bien-sûr Toverland à decouvrir le jour du départ pour finir en beauté et combler les enfants 25\u20ac (pas de prix center parc contrairement à ce que j'avais pu lire).Comme dans tous les center parc, le personnel est pro souriant bienveillant.Séjour réussi !",fr,Vacances de pâques , avril 2018,"['merveilleux', 'het', 'meerdal la', 'zone', 'calme', 'proche', 'neuf', 'entretien', 'proprete', 'dire', 'nickel', 'propre', 'confort l aquamundo', 'mal', 'seul', 'toboggan', 'belle', 'riviere', 'sauvage', 'douce', 'plusieurs', 'endroits', 'relaxer', 'petits la', 'petite', 'ferme', 'sympa', 'aussi beaucoup', 'loisirs', 'decouvrir', 'refaire', 'bien sûr', 'toverland', 'decouvrir', 'jour', 'depart', 'finir', 'beaute', 'combler', 'enfants', '25 u20ac', 'prix', 'contrairement', 'j avais', 'lire', ' comme', 'personnel', 'pro', 'souriant', 'bienveillant sejour', 'reussi']","['merveil', 'het', 'meerdal l', 'zon', 'calm', 'proch', 'neuf', 'entretien', 'propret', 'dir', 'nickel', 'propr', 'confort l aquamundo', 'mal', 'seul', 'toboggan', 'bel', 'rivier', 'sauvag', 'douc', 'plusieur', 'endroit', 'relax', 'petits l', 'petit', 'ferm', 'symp', 'aussi beaucoup', 'loisir', 'decouvr', 'refair', 'bien sûr', 'toverland', 'decouvr', 'jour', 'depart', 'fin', 'beaut', 'combl', 'enfant', '25 u20ac', 'prix', 'contrair', 'j av', 'lir', ' comm', 'personnel', 'pro', 'souri', 'bienveillant sejour', 'reuss']","['merveilleux', 'het', 'meerdal la', 'zone', 'calme', 'proche', 'neuf', 'entretien', 'proprete', 'dire', 'nickel', 'propre', 'confort l aquamundo', 'mal', 'seul', 'toboggan', 'belle', 'riviere', 'sauvage', 'douce', 'plusieurs', 'endroits', 'relaxer', 'petits la', 'petite', 'ferme', 'sympa', 'aussi beaucoup', 'loisirs', 'decouvrir', 'refaire', 'bien sûr', 'toverland', 'decouvrir', 'jour', 'depart', 'finir', 'beaute', 'combler', 'enfants', '25 u20ac', 'prix', 'contrairement', 'j avais', 'lira', ' comme', 'personnel', 'pro', 'souriant', 'bienveillant sejour', 'reussi']"
7,Center Parcs Het Meerdal,27 avril 2018,5,"Superbe séjour de 5 jours pour famille avec enfants ( jeunes ou plus grand) le cottage (336 premium pour 6) super équipé mais deco depassee : lave vaisselle micro onde salle de bain avec baignoire et deux toilettes. Le cottage dispose déjà du réducteur de wc enfant, chaise haute et lit bb le tout en plein pied. L'environnement est très chouette de notre côté très arboré sans vis à vis et plein d'animaux ( écureuils lapins biches canards paon..) moins vrai du côté des cottages à poney. Nous avons vu les cottages enfants avec toboggan on essayera d'en avoir un comme ça la prochaine fois! Canon! Le center parc propose aussi la location de vélos tout âge (Tricycle draisienne vélo adulte et enfants mais aussi carriole à vélo poussette canne et fauteuil le roulant) l'aquamudo est composé de plusieurs bassins de 30 à 35 degrés (2jacuzzi planqués) de deux toboggans 1 rivière sauvage et 1 rapide je précise que je suis très frileuse et que j'y retournerai. Le tout très propre avec des douches individuelles en sortant chaudes! Nous avons fait du bowling (prévoir une réservation en arrivant) toutes les pistes disposent de rigoles pour enfants et de toboggan pour les plus petits le mini golf est sympa mais excessivement cher (42 euros pour 6) astuce prendre 2 entrées (1adultes et 1enfant) et des crayons de couleurs pour chacun sa couleur sur la fiche ! Le jeu Belula intérieur est sympa mais toboggan condamne dommage ! Nous avions pris la demi pension. Le repas du soir en buffet est vraiment sans intérêt et les néerlandais mange très tôt (20h) fin du service !!! Mais le petit déjeuner est super! Un délice et très varié sous forme de buffet sucré et salé (fruit saucisse bacon pancake céréales yaourt...) je conseille de prendre les petits dej seulement et de prendre leur formule toute faite (viande légume en plancha ou autre) pour le midi et de prévoir sa soupe pour le soir!! Autrement le site est vraiment sympa avec des bateaux (enfants et pédalo) de l'accrobranche adulte et enfants tirolienne et autre on refera! ",fr,Super séjour spécial famille! , avril 2018,"['superbe', 'famille', 'enfants', 'jeunes', 'grand', '336', 'premium', 'super', 'equipe', 'deco', 'depassee', 'lave', 'vaisselle', 'micro', 'onde', 'salle', 'bain', 'baignoire', 'deux', 'toilettes', 'dispose', 'deja', 'reducteur', 'enfant', 'chaise', 'haute', 'lit', 'plein', 'pied', 'l environnement', 'chouette', 'cote', 'arbore', 'vis', 'vis', 'plein', 'd animaux', 'ecureuils', 'lapins', 'biches', 'canards', 'paon  ', 'vrai', 'cote', 'poney', 'enfants', 'toboggan', 'essayera', 'd en', 'avoir', 'prochaine', 'canon', 'propose', 'location', 'velos', 'âge', 'tricycle', 'draisienne', 'velo', 'adulte', 'enfants', 'carriole', 'velo', 'poussette', 'canne', 'fauteuil', 'roulant', 'l aquamudo', 'compose', 'plusieurs', 'bassins', 'degres', '2jacuzzi', 'planques', 'deux', 'toboggans', 'riviere', 'sauvage', 'rapide', 'precise', 'frileuse', 'retournerai', 'propre', 'douches', 'individuelles', 'sortant', 'chaudes', 'bowling', 'prevoir', 'reservation', 'arrivant', 'pistes', 'disposent', 'rigoles', 'enfants', 'toboggan', 'petits', 'mini', 'golf', 'sympa', 'excessivement', 'cher', 'euros', 'astuce', 'prendre', 'entrees', '1adultes', '1enfant', 'crayons', 'couleurs', 'chacun', 'couleur', 'fiche', 'jeu', 'belula', 'interieur', 'sympa', 'toboggan', 'condamne', 'dommage', 'pris', 'demi', 'pension', 'repas', 'soir', 'buffet', 'interet', 'neerlandais', 'mange', 'tot', '20h', 'fin', 'service', 'petit', 'dejeuner', 'super', 'delice', 'varie', 'sous', 'forme', 'buffet', 'sucre', 'sale', 'fruit', 'saucisse', 'bacon', 'pancake', 'cereales', 'yaourt', 'conseille', 'prendre', 'petits', 'dej', 'seulement', 'prendre', 'formule', 'faite', 'viande', 'legume', 'plancha', 'autre', 'midi', 'prevoir', 'soupe', 'soir', 'autrement', 'sympa', 'bateaux', 'enfants', 'pedalo', 'l accrobranche', 'adulte', 'enfants', 'tirolienne', 'autre', 'refera']","['superb', 'famill', 'enfant', 'jeun', 'grand', '336', 'premium', 'sup', 'equip', 'deco', 'depasse', 'lav', 'vaissel', 'micro', 'onde', 'sall', 'bain', 'baignoir', 'deux', 'toilet', 'dispos', 'dej', 'reducteur', 'enfant', 'chais', 'haut', 'lit', 'plein', 'pied', 'l environ', 'chouet', 'cot', 'arbor', 'vis', 'vis', 'plein', 'd animal', 'ecureuil', 'lapin', 'bich', 'canard', 'paon  ', 'vrai', 'cot', 'poney', 'enfant', 'toboggan', 'essai', 'd en', 'avoir', 'prochain', 'canon', 'propos', 'locat', 'velos', 'âge', 'tricycl', 'draisien', 'velo', 'adult', 'enfant', 'carriol', 'velo', 'pousset', 'cann', 'fauteuil', 'roul', 'l aquamudo', 'compos', 'plusieur', 'bassin', 'degr', '2jacuzz', 'planqu', 'deux', 'toboggan', 'rivier', 'sauvag', 'rapid', 'precis', 'frileux', 'retourn', 'propr', 'douch', 'individuel', 'sort', 'chaud', 'bowling', 'prevoir', 'reserv', 'arriv', 'pist', 'disposent', 'rigol', 'enfant', 'toboggan', 'petit', 'min', 'golf', 'symp', 'excess', 'cher', 'euros', 'astuc', 'prendr', 'entre', '1adult', '1enf', 'crayon', 'couleur', 'chacun', 'couleur', 'fich', 'jeu', 'belul', 'interieur', 'symp', 'toboggan', 'condamn', 'dommag', 'pris', 'dem', 'pension', 'rep', 'soir', 'buffet', 'interet', 'neerland', 'mang', 'tot', '20h', 'fin', 'servic', 'pet', 'dejeun', 'sup', 'delic', 'var', 'sous', 'form', 'buffet', 'sucr', 'sal', 'fruit', 'sauc', 'bacon', 'pancak', 'cereal', 'yaourt', 'conseil', 'prendr', 'petit', 'dej', 'seul', 'prendr', 'formul', 'fait', 'viand', 'legum', 'planch', 'autr', 'mid', 'prevoir', 'soup', 'soir', 'autr', 'symp', 'bateau', 'enfant', 'pedalo', 'l accrobranch', 'adult', 'enfant', 'tirolien', 'autr', 'ref']","['superbe', 'famille', 'enfants', 'jeunes', 'grand', '336', 'premium', 'super', 'equipe', 'deco', 'depassee', 'lave', 'vaisselle', 'micro', 'onde', 'salle', 'bain', 'baignoire', 'deux', 'toilette', 'dispose', 'deja', 'reducteur', 'enfant', 'chaise', 'haute', 'light', 'plein', 'pied', 'l environnement', 'chouette', 'cote', 'arbore', 'vi', 'vi', 'plein', 'd animaux', 'ecureuils', 'lapin', 'biches', 'canard', 'paon  ', 'vrai', 'cote', 'poney', 'enfants', 'toboggan', 'essayera', 'd en', 'avoir', 'prochaine', 'canon', 'propose', 'location', 'velos', 'âge', 'tricycle', 'draisienne', 'velo', 'adulte', 'enfants', 'carriole', 'velo', 'poussette', 'canne', 'fauteuil', 'roulant', 'l aquamudo', 'compose', 'plusieurs', 'bassins', 'degres', '2jacuzzi', 'planques', 'deux', 'toboggan', 'riviere', 'sauvage', 'rapide', 'precise', 'frileuse', 'retournerai', 'propre', 'douche', 'individuelles', 'sortant', 'chaudes', 'bowl', 'prevoir', 'reservation', 'arrivant', 'piste', 'disposent', 'rigoles', 'enfants', 'toboggan', 'petits', 'mini', 'golf', 'sympa', 'excessivement', 'cher', 'euro', 'astuce', 'prendre', 'entree', '1adultes', '1enfant', 'crayon', 'couleurs', 'chacun', 'couleur', 'fiche', 'jeu', 'belula', 'interieur', 'sympa', 'toboggan', 'condamne', 'dommage', 'pris', 'demi', 'pension', 'repas', 'soir', 'buffet', 'interet', 'neerlandais', 'mange', 'tot', '20h', 'fin', 'service', 'petit', 'dejeuner', 'super', 'delice', 'varie', 'sou', 'forme', 'buffet', 'sucre', 'sale', 'fruit', 'saucisse', 'bacon', 'pancake', 'cereales', 'yaourt', 'conseille', 'prendre', 'petits', 'dej', 'seulement', 'prendre', 'formule', 'faite', 'viande', 'legume', 'plancha', 'autre', 'midi', 'prevoir', 'soupe', 'soir', 'autrement', 'sympa', 'bateaux', 'enfants', 'pedalo', 'l accrobranche', 'adulte', 'enfants', 'tirolienne', 'autre', 'refera']"
8,Center Parcs Het Meerdal,9 juillet 2018,2,"Nous avons passé 8 jours dans cet endroit. L aqua mundo est bien mais petit vu le nombre de gens ! les cottages poney est correcte. le seul vrai souci c est qu il faut parler anglais ou néerlandais !! je remercie anne du magasin de souvenir qui a fait l'effort de parler français !! et même en parlant anglais, certaines (dont 2 à la réception) n'ont fait aucun effort pour m'aider ! autre point négatif mon bébé s 'est fait dévaster par les moustiques et les puces ! bref une fois pas deux !",fr,il faut parler anglais ou néerlandais, juillet 2018,"['passe', 'cet', 'endroit', 'bien', 'petit', 'nombre', 'gens', 'poney', 'correcte', 'seul', 'vrai', 'souci', 'parler', 'anglais', 'neerlandais', 'remercie', 'anne', 'magasin', 'souvenir', 'l effort', 'parler', 'francais', 'parlant', 'anglais', 'certaines', 'dont', 'reception', 'n ont', 'aucun', 'effort', 'm aider', 'autre', 'point', 'negatif', 'bebe', ' est', 'devaster', 'moustiques', 'puces', 'bref', 'deux']","['pass', 'cet', 'endroit', 'bien', 'pet', 'nombr', 'gen', 'poney', 'correct', 'seul', 'vrai', 'souc', 'parl', 'anglais', 'neerland', 'remerc', 'anne', 'magasin', 'souven', 'l effort', 'parl', 'franc', 'parl', 'anglais', 'certain', 'dont', 'recept', 'n ont', 'aucun', 'effort', 'm aid', 'autr', 'point', 'negat', 'beb', ' est', 'devast', 'moustiqu', 'puc', 'bref', 'deux']","['passe', 'cet', 'endroit', 'bien', 'petit', 'nombre', 'gen', 'poney', 'correcte', 'seul', 'vrai', 'souci', 'parler', 'anglais', 'neerlandais', 'remercie', 'anne', 'magasin', 'souvenir', 'l effort', 'parler', 'francais', 'parlant', 'anglais', 'certaines', 'dont', 'reception', 'n ont', 'aucun', 'effort', 'm aider', 'autre', 'point', 'negatif', 'bebe', ' est', 'devaster', 'moustiques', 'puce', 'bref', 'deux']"
9,Center Parcs Het Meerdal,1 janvier 2019,4,"Bungalow top rien a redire. Quelques soucis à l enregistrement ou je n'ai pas eu le droit aux avantages family friends qui m'étaient promis. Malgré leur avoir montré la promeuve de l'e-mail qui le stipulait ( venant de Centerparcs) ils n'ont fais aucun geste.En-suite, j'avais fais celui de Erperheide quelques mois plutôt , que j adore ! Et la piscine ici à Het Meerdal m'a un peu déçue . La piscine est mon intérêt premier lors de mes escapade Centerparcs. ",fr,Mitigée , janvier 2019,"['bungalow', 'top', 'redire', 'quelques', 'soucis', 'enregistrement', 'n ai', 'droit', 'avantages', 'family', 'friends', 'm etaient', 'promis', 'avoir', 'montre', 'promeuve', 'e mail', 'stipulait', 'venant', 'centerparcs', 'n ont', 'fais', 'aucun', 'geste en suite', 'j avais', 'fais', 'celui', 'erperheide', 'quelques', 'mois', 'plutot', 'adore', 'piscine', 'ici', 'het', 'meerdal', 'decue', 'piscine', 'interet', 'premier', 'lors', 'escapade', 'centerparcs']","['bungalow', 'top', 'redir', 'quelqu', 'souc', 'enregistr', 'n ai', 'droit', 'avantag', 'family', 'friend', 'm et', 'prom', 'avoir', 'montr', 'promeuv', 'e mail', 'stipul', 'ven', 'centerparc', 'n ont', 'fais', 'aucun', 'geste en suit', 'j av', 'fais', 'celui', 'erperheid', 'quelqu', 'mois', 'plutot', 'ador', 'piscin', 'ici', 'het', 'meerdal', 'decu', 'piscin', 'interet', 'premi', 'lor', 'escapad', 'centerparc']","['bungalow', 'top', 'redire', 'quelques', 'soucis', 'enregistrement', 'n ai', 'droit', 'avantages', 'family', 'friend', 'm etaient', 'promis', 'avoir', 'montre', 'promeuve', 'e mail', 'stipulait', 'venant', 'centerparcs', 'n ont', 'fais', 'aucun', 'geste en suite', 'j avais', 'fais', 'celui', 'erperheide', 'quelques', 'mois', 'plutot', 'adore', 'piscine', 'ici', 'het', 'meerdal', 'decue', 'piscine', 'interet', 'premier', 'lors', 'escapade', 'centerparcs']"
