group_number,review,service,service_sentiment,activities,activities_sentiment,cost,cost_sentiment,family,family_sentiment,food,food_sentiment,infrastructure,infra_sentiment
groupe_1,"We are veterans to the Center Parcs holiday and have visited all the UK ones and 2 in France.  However this is our first return visit for 3 years where we were once twice yearly regulars.  That's the context done.  Center Parcs have gradually dismantled there own brand in favour of high street franchises.  These are priced pretty much the same as high street; if you can get in them.  Arrival day; car park full by 11:50 so sent to park by villa, never known this before.  Arrival day lunch, waited over 1 hour for some burgers and kids meals but the food was ok.  Subtropical swim paradise; very busy, make sure you all get key bands as these open the pool lockers and your lodge.  Around 30% of the showers in the pool area don't work and several lockers also did not lock.  The rapids were so busy at one point they had to control the flow of people with lifeguards.  Water to drink is freely available at the bars in the pool area, this is good to know.  Park mart well stocked although more to the processed food end of things.We did the DiningIn service the next day but this fell short as they could not cook the burgers due to oven failure.  However you can see the Dexter's burger restaurant almost from the door of dining in counter.  So I sorted it myself.  Climbing experience much improved from previous visits and we all enjoyed some badminton.  Tried for pancake house at lunch on leaving day but 40 min wait for table despite the place looking half full.The lodge was a basic one,  however the tv had some screen damage, the towel loop in the loo was broken off and one of the 2 fridges was dirty.I waited 10 minutes in the leisure bowl bar to be served which was again half full.Overall impression; some facilities improved but it does not seem to have that feeling of attentive service any more and there is not enough staff to keep things moving on time whilst they have clearly increased the Parc accommodation numbers.  Profit I fear has come before pride in the Center Parcs culture.  It may be a long time before we consider a visit to this brand again.",1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,,1.0,-1.0,1.0,-1.0
groupe_1,"Lodge was fine, nice setting, centre is well laid out, easy to push a wheelchair or buggy. The Aqua Sana spa was excellent, crowded but not uncomfortably so. Great fireworks on the Saturday night. Swim paradise was packed but this is to be expected on a chilly December day. My main gripe is the poor level of service. Some examples: non-functioning locker key; no towels in the swim paradise; no balls in our bowling lane; nearly an hour to get some very bad food in one of the restaurants (with a single owner of all the food franchises and a captive market I guess it isn't surprising that none of them tries too hard). Individual staff members were mostly cheery and helpful but there wasn't nearly enough of them. It would have been OK if this had been a cheap break. But it wasn't. Over £200 a night per room and everything else extra. Appreciate it was a peak period, but for this kind of money you expect faultless service.",1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,,0.0,,1.0,1.0
groupe_1,"After the madness of Christmas, it was a well earned and most enjoyable break, the guys had a great time espesically with three teenagers, who loved it Big thank you to all the lovely staff, they couldn't do another to help, with a spinal damage and needing a mobility scooter getting around was more than accomdateing, big thanks to Tracy (evening staff) in cafe rogue great service, Only sad as we tried to book for next this year 2019 all sold out ud83dude2aud83dude2aBut great stayGary, Lisa, three happy teenagers and pug brothers",1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,0.0,
groupe_1,"We have visited Centre Parcs many times over the past 20+ years but this time (2nd-4th January 2019) has put most of our family off returning again unless the company does something to sort out the overcrowding issue. It felt dangerously overcrowded, which we felt was due to new guest arriving whilst checked out guests were allowed to stay, and on top of this there were no activities available on &quot;cross-over days&quot; which left the sub- tropical area the place for everyone to go to. Whilst management tried to put strategies in place to eliviate the issue, such as stopping guests entering the area/blocking off areas, it was too little too late for those caught up in the chaos inside the sub-tropical area and resulted in our group leaving early. Disappointing experience!",0.0,,1.0,-1.0,0.0,,1.0,0.0,0.0,,1.0,-1.0
groupe_1,"We stayed as a family group from 2nd January until 4th January 2019.  On two of the days out of our three-day long stay, the sub-tropical paradise swim pool was 'full' which resulted in staff having to create a make-shift barricade across the entrance to stop holidaymakers from accessing the facility!  There was an enormous queue of families loaded up with swimming gear who were being constantly turned away with crying toddlers and harassed parents looking disappointed and angry.  It was impossible to book a restaurant for dinner on either of our two night stay due to all the restaurants being fully booked!  Queues everywhere - 45-minute wait for a table to eat breakfast followed by a further hour sat at the table waiting for food.  Long lines for the bathrooms which were then overloaded and not flushing.  The queues to buy a coffee were literally out the door and there appeared to be a general lack of staff everywhere across the park.  Toilets in public areas were frequently blocked throughout our stay with staff appearing to be as overwhelmed as the plumbing was.  Never before had an experience like this at Center Parcs.  I can only imagine a decision had been made somewhere to maximise the amount of money Center Parcs could make by increasing holidaymaker numbers whilst failing to increase staff numbers and then being completely unable to ensure access to all facilities for everyone who had paid for what is actually quite an expensive break.",1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
groupe_1,"Center Parcs is lovely but I highly recommend bringing everything you will need as eating out is extortionate. 27 quid for a breakfast, presentation was good but the meal itself was worth at most 5 quid a head.",0.0,,0.0,,1.0,-1.0,0.0,,1.0,-1.0,0.0,
groupe_1,"Visited the pancake house and I must say the woman who served us Helen was amazing. So friendly and genuine this lady is a superstar she needs a pay rise!!! Was my friends birthday and as soon as she found out we had balloons, cocktail, and sparklers in the pancake. Absolutely amazing lady xxx",1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,
groupe_1,Visited 7th Jan for 4 nights.  Had a great time as usual.  Very relaxing and felt a million miles away from home!! New woodland lodge was spotless and very warm! Visited the spa which was amazing!!  We have been more than 30 times over the last 22 years!,0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0
groupe_1,"Superb short break once again at Sherwood forest, great atmosphere great staff and plenty too do. Food was amazing if a bit pricey but you get what you pay for will  be booking again for end of year as always.",1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,0.0,
groupe_1,"We recently rented 3 x 4 bedroom New Executive Lodges for my 50th birthday.These are spotless, very well fitted out with plenty of room.Rooms were serviced every day which was something we didn't know about and a through job they did too.Staff were all friendly, helpful and always had a smile.Games room with pool table is splendid.Easy walk, about 15mins, to the centre of the village.",1.0,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0
